City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Coffs Harbour,AU,2021-01-24 22:36:33,-30.3,153.1333,78.8,65,8,12.66
189,Rock Sound,BS,2021-01-24 22:36:33,24.9,-76.2,74.07,70,11,4.65
190,Gondanglegi,ID,2021-01-24 22:35:34,-7.7479,112.0132,74.5,86,83,1.32
191,Ihosy,MG,2021-01-24 22:36:34,-22.4,46.1167,70.61,87,96,2.68
192,Havoysund,NO,2021-01-24 22:35:24,70.9963,24.6622,14.0,73,75,5.75
193,Dubna,RU,2021-01-24 22:34:39,56.7333,37.1667,36.16,98,100,11.65
194,Mahibadhoo,MV,2021-01-24 22:34:39,3.7833,72.9667,81.36,80,43,15.3
195,Pathein,MM,2021-01-24 22:36:34,16.7833,94.7333,63.05,87,58,5.5
196,Hambantota,LK,2021-01-24 22:34:32,6.1241,81.1185,73.72,80,95,14.03
197,Coquimbo,CL,2021-01-24 22:32:22,-29.9533,-71.3436,68.0,68,20,12.66
198,Yar-Sale,RU,2021-01-24 22:35:35,66.8333,70.8333,-32.03,80,100,11.27
199,Severo-Kurilsk,RU,2021-01-24 22:34:18,50.6789,156.125,18.0,94,100,15.32
200,Golden,US,2021-01-24 22:36:00,39.7555,-105.2211,37.0,59,75,5.75
201,Namatanai,PG,2021-01-24 22:34:37,-3.6667,152.4333,83.97,69,8,4.43
202,Mount Gambier,AU,2021-01-24 22:35:01,-37.8333,140.7667,75.2,43,75,3.44
203,Broome,US,2021-01-24 22:35:09,42.2506,-75.833,19.0,67,1,6.91
204,Roebourne,AU,2021-01-24 22:36:36,-20.7833,117.1333,84.06,33,30,12.8
205,Cabatuan,PH,2021-01-24 22:36:36,10.8794,122.486,75.54,91,1,9.51
206,Cap-Aux-Meules,CA,2021-01-24 22:36:36,47.3821,-61.8597,26.6,74,95,4.61
207,Bethel,US,2021-01-24 22:34:28,41.3712,-73.414,28.4,26,1,9.22
208,Richards Bay,ZA,2021-01-24 22:34:59,-28.783,32.0377,74.19,78,100,20.96
209,Iwaki,JP,2021-01-24 22:36:37,37.05,140.8833,32.0,100,20,8.05
210,Matara,LK,2021-01-24 22:36:37,5.9485,80.5353,72.25,83,95,8.1
211,Valley City,US,2021-01-24 22:36:37,46.9233,-98.0032,8.6,72,1,13.8
212,Pecos,US,2021-01-24 22:35:39,31.4229,-103.4932,68.0,45,1,16.55
213,Whitehorse,CA,2021-01-24 22:36:37,60.7161,-135.0538,12.99,92,90,9.22
214,Butaritari,KI,2021-01-24 22:34:40,3.0707,172.7902,79.09,76,60,10.0
215,Ozernovskiy,RU,2021-01-24 22:36:38,51.5,156.5167,14.45,90,100,7.34
216,Ancud,CL,2021-01-24 22:35:25,-41.8697,-73.8203,62.6,55,75,4.61
217,Tiksi,RU,2021-01-24 22:35:42,71.6872,128.8694,-45.44,78,43,8.21
218,Dikson,RU,2021-01-24 22:33:08,73.5069,80.5464,-15.95,89,100,12.62
219,Poum,NC,2021-01-24 22:34:28,-20.2333,164.0167,81.27,77,95,19.44
220,Saint Anthony,US,2021-01-24 22:34:53,45.0205,-93.218,26.6,54,1,6.91
221,Alencon,FR,2021-01-24 22:36:38,48.4333,0.0833,34.36,89,78,13.11
222,Vanimo,PG,2021-01-24 22:35:35,-2.6741,141.3028,81.55,80,60,3.49
223,Iqaluit,CA,2021-01-24 22:34:44,63.7506,-68.5145,-0.4,85,1,3.44
224,Chicama,PE,2021-01-24 22:36:39,-7.8447,-79.1469,73.4,83,40,9.22
225,Moose Factory,CA,2021-01-24 22:36:39,51.2585,-80.6094,-0.4,65,90,5.75
226,Vila Franca Do Campo,PT,2021-01-24 22:35:36,37.7167,-25.4333,63.0,94,75,17.27
227,Beloha,MG,2021-01-24 22:34:41,-25.1667,45.05,76.03,87,24,9.73
228,Padang,ID,2021-01-24 22:35:48,-0.9492,100.3543,73.4,94,75,3.44
229,Fenoarivo,MG,2021-01-24 22:36:39,-18.933,47.4354,62.6,100,40,2.3
230,Lavrentiya,RU,2021-01-24 22:34:50,65.5833,-171.0,2.82,88,100,0.83
231,Tacna,PE,2021-01-24 22:36:40,-18.0056,-70.2483,69.8,73,0,8.05
232,Carbonia,IT,2021-01-24 22:36:40,39.1672,8.5222,52.0,71,0,13.8
233,Saint-Francois,FR,2021-01-24 22:36:40,46.4154,3.9054,37.99,100,75,4.61
234,Chapais,CA,2021-01-24 22:34:51,49.7834,-74.8492,3.2,78,90,8.05
235,Esperance,AU,2021-01-24 22:34:27,-33.8667,121.9,60.8,94,90,4.61
236,Pangody,RU,2021-01-24 22:36:40,65.85,74.4859,-40.29,77,2,7.78
237,Kupang,ID,2021-01-24 22:36:40,-10.1667,123.5833,75.2,100,90,2.3
238,Bengbu,CN,2021-01-24 22:36:41,32.9408,117.3608,45.07,92,100,8.55
239,Belaya Gora,RU,2021-01-24 22:36:41,68.5333,146.4167,-34.04,81,99,2.68
240,Sur,OM,2021-01-24 22:35:28,22.5667,59.5289,66.9,51,0,10.33
241,Viedma,AR,2021-01-24 22:35:51,-40.8135,-62.9967,99.25,16,0,13.56
242,Xai-Xai,MZ,2021-01-24 22:34:32,-25.0519,33.6442,78.46,85,100,5.35
243,Buchanan,LR,2021-01-24 22:35:10,5.8808,-10.0467,77.0,94,20,7.18
244,Abu Samrah,SY,2021-01-24 22:36:42,35.3029,37.1841,40.87,66,0,5.14
245,Cidreira,BR,2021-01-24 22:34:57,-30.1811,-50.2056,76.03,86,16,11.86
246,Hay River,CA,2021-01-24 22:36:42,60.8156,-115.7999,-18.4,69,20,5.75
247,Ponta Delgada,PT,2021-01-24 22:36:42,37.7333,-25.6667,63.0,94,75,17.27
248,Tessalit,ML,2021-01-24 22:36:42,20.1986,1.0114,64.36,20,17,11.86
249,Willowmore,ZA,2021-01-24 22:36:42,-33.2926,23.4895,56.41,81,66,18.05
250,Erseke,AL,2021-01-24 22:36:43,40.3378,20.6789,36.97,94,100,4.5
251,Monte Siao,BR,2021-01-24 22:36:43,-22.4325,-46.5725,68.05,86,100,1.9
252,Ferme-Neuve,CA,2021-01-24 22:36:43,46.7001,-75.4493,12.2,62,12,4.61
253,Ponta Do Sol,PT,2021-01-24 22:34:43,32.6667,-17.1,57.99,72,1,1.01
254,Wamba,NG,2021-01-24 22:36:43,8.9333,8.6,75.72,19,100,4.94
255,La Paz,BO,2021-01-24 22:36:43,-16.5,-68.15,50.0,71,75,6.91
256,Tilichiki,RU,2021-01-24 22:34:30,60.4667,166.1,-8.36,91,100,15.14
257,Kavaratti,IN,2021-01-24 22:34:51,10.5669,72.642,80.91,78,7,11.72
258,Hue,VN,2021-01-24 22:33:58,16.4667,107.6,66.2,100,90,1.14
259,Okhotsk,RU,2021-01-24 22:35:00,59.3833,143.3,-23.49,77,36,16.46
260,Beyla,GN,2021-01-24 22:36:44,8.6833,-8.6333,70.21,22,0,1.5
261,Murfreesboro,US,2021-01-24 22:36:44,35.8456,-86.3903,50.0,87,90,4.41
262,Iida,JP,2021-01-24 22:36:45,35.5197,137.8207,36.0,100,7,3.65
263,Malinyi,TZ,2021-01-24 22:36:45,-8.9333,36.1333,71.15,96,100,0.74
264,Camana,PE,2021-01-24 22:36:45,-16.6228,-72.7111,72.12,72,80,6.26
265,Semey,KZ,2021-01-24 22:36:45,50.4111,80.2275,-25.58,84,21,5.66
266,Lagoa,PT,2021-01-24 22:34:23,39.05,-27.9833,62.08,95,98,19.17
267,Matadi,CD,2021-01-24 22:36:45,-5.8167,13.45,76.3,89,100,2.51
268,Vostok,RU,2021-01-24 22:34:25,46.4856,135.8833,0.66,92,2,2.42
269,Ayame,CI,2021-01-24 22:36:46,5.6083,-3.1563,73.33,92,1,3.31
270,Tarakan,ID,2021-01-24 22:35:21,3.3,117.6333,75.2,94,75,1.14
271,Geraldton,AU,2021-01-24 22:34:43,-28.7667,114.6,70.09,69,69,13.6
272,Woodward,US,2021-01-24 22:36:46,36.4337,-99.3904,41.0,70,90,13.8
273,Rundu,NA,2021-01-24 22:36:46,-17.9333,19.7667,66.88,88,35,4.0
274,Dubbo,AU,2021-01-24 22:32:25,-32.25,148.6167,84.2,32,76,16.11
275,Norsup,VU,2021-01-24 22:36:46,-16.0667,167.3833,82.69,76,91,6.89
276,Kondopoga,RU,2021-01-24 22:36:47,62.2057,34.2614,33.8,93,100,2.24
277,Santa Maria Del Oro,MX,2021-01-24 22:36:47,25.9333,-105.3667,68.99,24,2,34.74
278,Hammerfest,NO,2021-01-24 22:36:47,70.6634,23.6821,14.0,73,75,5.75
279,Sorland,NO,2021-01-24 22:35:44,67.667,12.6934,24.8,80,75,5.75
280,Ulladulla,AU,2021-01-24 22:36:47,-35.35,150.4667,82.0,61,0,4.61
281,San Quintin,MX,2021-01-24 22:35:20,30.4833,-115.95,57.92,59,17,16.37
282,Houston,US,2021-01-24 22:32:42,29.7633,-95.3633,75.2,78,90,20.71
283,Hasaki,JP,2021-01-24 22:34:33,35.7333,140.8333,37.4,93,20,8.05
284,Chengdu,CN,2021-01-24 22:36:48,30.6667,104.0667,50.0,100,75,2.24
285,Kaniama,CD,2021-01-24 22:36:48,-7.5667,24.1833,65.17,95,100,5.01
286,Mwinilunga,ZM,2021-01-24 22:36:48,-11.7358,24.4293,62.1,95,99,4.36
287,Nouadhibou,MR,2021-01-24 22:35:13,20.931,-17.0347,69.8,64,0,12.66
288,Rawlins,US,2021-01-24 22:36:48,41.7911,-107.2387,28.99,68,1,8.28
289,Teguldet,RU,2021-01-24 22:36:49,57.3064,88.1667,-44.27,79,53,4.83
290,Vitry-Le-Francois,FR,2021-01-24 22:36:49,48.7333,4.5833,35.6,93,90,3.44
291,Vieste,IT,2021-01-24 22:36:49,41.8825,16.175,46.4,87,40,18.41
292,Fonte Boa,BR,2021-01-24 22:35:45,-2.4959,-66.2662,75.51,97,89,3.83
