City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
163,Clyde River,CA,70.4692,-68.5914,10.4,100,40,21.85,scattered clouds,2021-01-24 23:39:17
164,Mariental,NA,-24.6333,17.9667,83.37,33,88,13.6,overcast clouds,2021-01-24 23:39:17
165,Pimentel,PE,-6.8367,-79.9342,75.2,73,0,16.11,clear sky,2021-01-24 23:39:18
166,Edd,ER,13.9297,41.6925,75.72,42,96,16.22,overcast clouds,2021-01-24 23:39:18
167,Ponta Do Sol,PT,32.6667,-17.1,59.0,71,1,1.99,clear sky,2021-01-24 23:39:18
168,Xiamen,CN,24.4798,118.0819,55.4,82,50,4.47,scattered clouds,2021-01-24 23:39:18
169,Vuktyl,RU,63.8567,57.3094,-4.56,92,100,9.64,light snow,2021-01-24 23:39:18
170,Redmond,US,47.674,-122.1215,41.0,93,100,5.93,light rain,2021-01-24 23:37:28
171,Tasiilaq,GL,65.6145,-37.6368,14.0,62,75,23.02,broken clouds,2021-01-24 23:39:19
172,Krasnoselkup,RU,65.7,82.4667,-43.44,75,0,0.96,clear sky,2021-01-24 23:39:19
173,Marsabit,KE,2.3284,37.9899,67.32,74,0,7.61,clear sky,2021-01-24 23:39:19
174,Narsaq,GL,60.9167,-46.05,28.4,29,0,31.07,clear sky,2021-01-24 23:36:54
175,Leningradskiy,RU,69.3833,178.4167,-16.56,85,0,2.21,clear sky,2021-01-24 23:37:05
176,Sayyan,YE,15.1718,44.3244,43.48,56,78,2.1,broken clouds,2021-01-24 23:37:10
177,Trairi,BR,-3.2778,-39.2689,80.02,80,99,10.31,overcast clouds,2021-01-24 23:39:20
178,Vitim,RU,59.4511,112.5578,-28.8,82,30,3.18,scattered clouds,2021-01-24 23:39:20
179,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,82,75,5.75,broken clouds,2021-01-24 23:39:20
180,Dickinson,US,29.4608,-95.0513,72.0,83,90,12.66,overcast clouds,2021-01-24 23:36:48
181,Guerrero Negro,MX,27.9769,-114.0611,60.62,56,5,19.62,clear sky,2021-01-24 23:36:25
182,Lipari,IT,38.4674,14.954,55.99,68,39,33.67,scattered clouds,2021-01-24 23:39:20
183,Mountain Home,US,43.133,-115.6912,39.2,48,1,12.66,clear sky,2021-01-24 23:38:48
184,Belaya Gora,RU,68.5333,146.4167,-34.74,80,99,2.66,overcast clouds,2021-01-24 23:39:21
185,Port Macquarie,AU,-31.4333,152.9167,84.99,50,24,1.99,few clouds,2021-01-24 23:39:21
186,Tiksi,RU,71.6872,128.8694,-45.69,78,44,8.57,scattered clouds,2021-01-24 23:39:21
187,Naivasha,KE,-0.7167,36.4359,57.0,83,87,8.99,overcast clouds,2021-01-24 23:39:21
